Dates,Index
Dec-02-2019,27783.04
Dec-03-2019,27502.81
Dec-04-2019,27649.78
Dec-05-2019,27677.79
Dec-06-2019,28015.06
Dec-09-2019,27909.6
Dec-10-2019,27881.72
Dec-11-2019,27911.3
Dec-12-2019,28132.05
Dec-13-2019,28135.38
Dec-16-2019,28235.89
Dec-17-2019,28267.16
Dec-18-2019,28239.28
Dec-19-2019,28376.96
Dec-20-2019,28455.09
Dec-23-2019,28551.53
Dec-24-2019,28515.45
Dec-26-2019,28621.39
Dec-27-2019,28645.26
Dec-30-2019,28462.14
Dec-31-2019,28538.44
Jan-02-2020,28868.8
Jan-03-2020,28634.88
Jan-06-2020,28703.38
Jan-07-2020,28583.68
Jan-08-2020,28745.09
Jan-09-2020,28956.9
Jan-10-2020,28823.77
Jan-13-2020,28907.05
Jan-14-2020,28939.67
Jan-15-2020,29030.22
Jan-16-2020,29297.64
Jan-17-2020,29348.1
Jan-21-2020,29196.04
Jan-22-2020,29186.27
Jan-23-2020,29160.09
Jan-24-2020,28989.73
Jan-27-2020,28535.8
Jan-28-2020,28722.85
Jan-29-2020,28734.45
Jan-30-2020,28859.44
Jan-31-2020,28256.03
Feb-03-2020,28399.81
Feb-04-2020,28807.63
Feb-05-2020,29290.85
Feb-06-2020,29379.77
Feb-07-2020,29102.51
Feb-10-2020,29276.82
Feb-11-2020,29276.34
Feb-12-2020,29551.42
Feb-13-2020,29423.31
Feb-14-2020,29398.08
Feb-18-2020,29232.19
Feb-19-2020,29348.03
Feb-20-2020,29219.98
Feb-21-2020,28992.41
Feb-24-2020,27960.8
Feb-25-2020,27081.36
Feb-26-2020,26957.59
Feb-27-2020,25766.64
Feb-28-2020,25409.36
Mar-02-2020,26703.32
Mar-03-2020,25917.41
Mar-04-2020,27090.86
Mar-05-2020,26121.28
Mar-06-2020,25864.78
Mar-09-2020,23851.02
Mar-10-2020,25018.16
Mar-11-2020,23553.22
Mar-12-2020,21200.62
Mar-13-2020,23185.62
Mar-16-2020,20188.52
Mar-17-2020,21237.38
Mar-18-2020,19898.92
Mar-19-2020,20087.19
Mar-20-2020,19173.98
Mar-23-2020,18591.93
Mar-24-2020,20704.91
Mar-25-2020,21200.55
Mar-26-2020,22552.17
Mar-27-2020,21636.78
Mar-30-2020,22327.48
Mar-31-2020,21917.16
Apr-01-2020,20943.51
Apr-02-2020,21413.44
Apr-03-2020,21052.53
Apr-06-2020,22679.99
Apr-07-2020,22653.86
Apr-08-2020,23433.57
Apr-09-2020,23719.37
Apr-13-2020,23390.77
Apr-14-2020,23949.76
