Dates,Index
Dec-02-2019,7285.94
Dec-03-2019,7158.76
Dec-04-2019,7188.5
Dec-05-2019,7137.85
Dec-06-2019,7239.66
Dec-09-2019,7233.9
Dec-10-2019,7213.76
Dec-11-2019,7216.25
Dec-12-2019,7273.47
Dec-13-2019,7353.44
Dec-16-2019,7519.05
Dec-17-2019,7525.28
Dec-18-2019,7540.75
Dec-19-2019,7573.82
Dec-20-2019,7582.48
Dec-23-2019,7623.59
Dec-24-2019,7632.24
Dec-27-2019,7644.9
Dec-30-2019,7587.05
Dec-31-2019,7542.44
Jan-02-2020,7604.3
Jan-03-2020,7622.4
Jan-06-2020,7575.34
Jan-07-2020,7573.85
Jan-08-2020,7574.93
Jan-09-2020,7598.12
Jan-10-2020,7587.85
Jan-13-2020,7617.6
Jan-14-2020,7622.35
Jan-15-2020,7642.8
Jan-16-2020,7609.81
Jan-17-2020,7674.56
Jan-20-2020,7651.44
Jan-21-2020,7610.7
Jan-22-2020,7571.92
Jan-23-2020,7507.67
Jan-24-2020,7585.98
Jan-27-2020,7412.05
Jan-28-2020,7480.69
Jan-29-2020,7483.57
Jan-30-2020,7381.96
Jan-31-2020,7286.01
Feb-03-2020,7326.31
Feb-04-2020,7439.82
Feb-05-2020,7482.48
Feb-06-2020,7504.79
Feb-07-2020,7466.7
Feb-10-2020,7446.88
Feb-11-2020,7499.44
Feb-12-2020,7534.37
Feb-13-2020,7452.03
Feb-14-2020,7409.13
Feb-17-2020,7433.25
Feb-18-2020,7382.01
Feb-19-2020,7457.02
Feb-20-2020,7436.64
Feb-21-2020,7403.92
Feb-24-2020,7156.83
Feb-25-2020,7017.88
Feb-26-2020,7042.47
Feb-27-2020,6796.4
Feb-28-2020,6580.61
Mar-02-2020,6654.89
Mar-03-2020,6718.2
Mar-04-2020,6815.59
Mar-05-2020,6705.43
Mar-06-2020,6462.55
Mar-09-2020,5965.77
Mar-10-2020,5960.23
Mar-11-2020,5876.52
Mar-12-2020,5237.48
Mar-13-2020,5366.11
Mar-16-2020,5151.08
Mar-17-2020,5294.9
Mar-18-2020,5080.58
Mar-19-2020,5151.61
Mar-20-2020,5190.78
Mar-23-2020,4993.89
