Dates, Index
Dec-02-2019,12964.68
Dec-03-2019,12989.29
Dec-04-2019,13140.57
Dec-05-2019,13054.8
Dec-06-2019,13166.58
Dec-09-2019,13105.61
Dec-10-2019,13070.72
Dec-11-2019,13146.74
Dec-12-2019,13221.64
Dec-13-2019,13282.72
Dec-16-2019,13407.66
Dec-17-2019,13287.83
Dec-18-2019,13222.16
Dec-19-2019,13211.96
Dec-20-2019,13318.9
Dec-23-2019,13300.98
Dec-27-2019,13337.11
Dec-30-2019,13249.01
Jan-02-2020,13385.93
Jan-03-2020,13219.14
Jan-06-2020,13126.99
Jan-07-2020,13226.83
Jan-08-2020,13320.18
Jan-09-2020,13495.06
Jan-10-2020,13483.31
Jan-13-2020,13451.52
Jan-14-2020,13456.49
Jan-15-2020,13432.3
Jan-16-2020,13429.43
Jan-17-2020,13526.13
Jan-20-2020,13548.94
Jan-21-2020,13555.87
Jan-22-2020,13515.75
Jan-23-2020,13388.42
Jan-24-2020,13576.68
Jan-27-2020,13204.77
Jan-28-2020,13323.69
Jan-29-2020,13345
Jan-30-2020,13157.12
Jan-31-2020,12981.97
Feb-03-2020,13045.19
Feb-04-2020,13281.74
Feb-05-2020,13478.33
Feb-06-2020,13574.82
Feb-07-2020,13513.81
Feb-10-2020,13494.03
Feb-11-2020,13627.84
Feb-12-2020,13749.78
Feb-13-2020,13745.43
Feb-14-2020,13744.21
Feb-17-2020,13783.89
Feb-18-2020,13681.19
Feb-19-2020,13789
Feb-20-2020,13664
Feb-21-2020,13579.33
Feb-24-2020,13035.24
Feb-25-2020,12790.49
Feb-26-2020,12774.88
Feb-27-2020,12367.46
Feb-28-2020,11890.35
Mar-02-2020,11857.87
Mar-03-2020,11985.39
Mar-04-2020,12127.69
Mar-05-2020,11944.72
Mar-06-2020,11541.87
Mar-09-2020,10625.02
Mar-10-2020,10475.49
Mar-11-2020,10438.68
Mar-12-2020,9161.13
Mar-13-2020,9232.08
Mar-16-2020,8742.25
Mar-17-2020,8939.1
Mar-18-2020,8441.71
Mar-19-2020,8610.43
Mar-20-2020,8928.95
Mar-23-2020,8741.15
Mar-24-2020,9700.57
Mar-25-2020,9874.26
Mar-26-2020,10000.96
Mar-27-2020,9632.52
Mar-30-2020,9815.97
Mar-31-2020,9935.84
Apr-01-2020,9544.75
Apr-02-2020,9570.82
Apr-03-2020,9525.77
Apr-06-2020,10075.17
Apr-07-2020,10356.7
Apr-08-2020,10332.89
Apr-09-2020,10564.74
Apr-14-2020,10696.56
Apr-15-2020,10279.76
Apr-16-2020,10301.54
Apr-17-2020,10625.78
Apr-20-2020,10675.9
Apr-21-2020,10249.85
Apr-22-2020,10415.03
Apr-23-2020,10513.79
Apr-24-2020,10336.09
Apr-27-2020,10659.99
Apr-28-2020,10795.63
Apr-29-2020,11107.74
Apr-30-2020,10861.64
May-04-2020,10466.8
May-05-2020,10729.46
May-06-2020,10606.2
May-07-2020,10759.27
May-08-2020,10904.48
May-11-2020,10824.99
May-12-2020,10819.5
May-13-2020,10542.66
May-14-2020,10337.02
May-15-2020,10465.17
May-18-2020,11058.87
May-19-2020,11075.29
May-20-2020,11223.71
May-21-2020,11065.93
May-22-2020,11073.87
May-25-2020,11391.28
May-26-2020,11504.65
May-27-2020,11657.69
May-28-2020,11781.13
May-29-2020,11586.85
Jun-02-2020,12021.28
Jun-03-2020,12487.36
Jun-04-2020,12430.56
Jun-05-2020,12847.68
Jun-08-2020,12819.59
Jun-09-2020,12617.99
Jun-10-2020,12530.16
Jun-11-2020,11970.29
Jun-12-2020,11949.28
Jun-15-2020,11911.35
Jun-16-2020,12315.66
Jun-17-2020,12382.14
Jun-18-2020,12281.53
Jun-19-2020,12330.76
Jun-22-2020,12262.97
Jun-23-2020,12523.76
Jun-24-2020,12093.94
Jun-25-2020,12177.87
Jun-26-2020,12089.39
Jun-29-2020,12232.12
Jun-30-2020,12310.93
Jul-01-2020,12260.57
Jul-02-2020,12608.46
Jul-03-2020,12528.18
Jul-06-2020,12733.45
Jul-07-2020,12616.8
Jul-08-2020,12494.81
Jul-09-2020,12489.46
Jul-10-2020,12633.71
Jul-13-2020,12799.97
Jul-14-2020,12697.36
Jul-15-2020,12930.98
Jul-16-2020,12874.97
Jul-17-2020,12919.61
Jul-20-2020,13046.92
Jul-21-2020,13171.83
Jul-22-2020,13104.25
Jul-23-2020,13103.39
Jul-24-2020,12838.06
Jul-27-2020,12838.66
Jul-28-2020,12835.28
Jul-29-2020,12822.26
Jul-30-2020,12379.65
Jul-31-2020,12313.36
Aug-03-2020,12646.98
Aug-04-2020,12600.87
Aug-05-2020,12660.25
Aug-06-2020,12591.68
Aug-07-2020,12674.88
Aug-10-2020,12687.53
Aug-11-2020,12946.89
Aug-12-2020,13058.63
Aug-13-2020,12993.71
Aug-14-2020,12901.34
Aug-17-2020,12920.66
Aug-18-2020,12881.76
Aug-19-2020,12977.33
Aug-20-2020,12830
Aug-21-2020,12764.8
Aug-24-2020,13066.54
Aug-25-2020,13061.62
Aug-26-2020,13190.15
Aug-27-2020,13096.36
Aug-28-2020,13033.2
Aug-31-2020,12945.38
Sep-01-2020,12974.25
Sep-02-2020,13243.43
Sep-03-2020,13057.77
Sep-04-2020,12842.66
Sep-07-2020,13100.28
Sep-08-2020,12968.33
Sep-09-2020,13237.21
Sep-10-2020,13208.89
Sep-11-2020,13202.84
Sep-14-2020,13193.66
Sep-15-2020,13217.67
Sep-16-2020,13255.37
Sep-17-2020,13208.12
Sep-18-2020,13116.25
Sep-21-2020,12542.44
Sep-22-2020,12594.39
Sep-23-2020,12642.97
Sep-24-2020,12606.57
Sep-25-2020,12469.2
Sep-28-2020,12870.87
Sep-29-2020,12825.82
Sep-30-2020,12760.73
Oct-01-2020,12730.77
Oct-02-2020,12689.04
Oct-05-2020,12828.31
Oct-06-2020,12906.02
Oct-07-2020,12928.57
Oct-08-2020,13042.21
Oct-09-2020,13051.23
Oct-12-2020,13138.41
Oct-13-2020,13018.99
Oct-14-2020,13028.06
Oct-15-2020,12703.75
Oct-16-2020,12908.99
Oct-19-2020,12854.66
Oct-20-2020,12736.95
