Dates,Index
Dec-02-2019,26444.72
Dec-03-2019,26391.3
Dec-04-2019,26062.56
Dec-05-2019,26217.04
Dec-06-2019,26498.37
Dec-09-2019,26494.73
Dec-10-2019,26436.62
Dec-11-2019,26645.43
Dec-12-2019,26994.14
Dec-13-2019,27687.76
Dec-16-2019,27508.09
Dec-17-2019,27843.71
Dec-18-2019,27884.21
Dec-19-2019,27800.49
Dec-20-2019,27871.35
Dec-23-2019,27906.41
Dec-24-2019,27864.21
Dec-27-2019,28225.42
Dec-30-2019,28319.39
Dec-31-2019,28189.75
Jan-02-2020,28543.52
Jan-03-2020,28451.5
Jan-06-2020,28226.19
Jan-07-2020,28322.06
Jan-08-2020,28087.92
Jan-09-2020,28561
Jan-10-2020,28638.2
Jan-13-2020,28954.94
Jan-14-2020,28885.14
Jan-15-2020,28773.59
Jan-16-2020,28883.04
Jan-17-2020,29056.42
Jan-20-2020,28795.91
Jan-21-2020,27985.33
Jan-22-2020,28341.04
Jan-23-2020,27909.12
Jan-24-2020,27949.64
Jan-29-2020,27160.63
Jan-30-2020,26449.13
Jan-31-2020,26312.63
Feb-03-2020,26356.98
Feb-04-2020,26675.98
Feb-05-2020,26786.74
Feb-06-2020,27493.7
Feb-07-2020,27404.27
Feb-10-2020,27241.34
Feb-11-2020,27583.88
Feb-12-2020,27823.66
Feb-13-2020,27730
Feb-14-2020,27815.6
Feb-17-2020,27959.6
Feb-18-2020,27530.2
Feb-19-2020,27655.81
Feb-20-2020,27609.16
Feb-21-2020,27308.81
Feb-24-2020,26820.88
Feb-25-2020,26893.23
Feb-26-2020,26696.49
Feb-27-2020,26778.62
Feb-28-2020,26129.93
Mar-02-2020,26291.68
Mar-03-2020,26284.82
Mar-04-2020,26222.07
Mar-05-2020,26767.87
Mar-06-2020,26146.67
Mar-09-2020,25040.46
Mar-10-2020,25392.51
Mar-11-2020,25231.61
Mar-12-2020,24309.07
Mar-13-2020,24032.91
Mar-16-2020,23063.57
Mar-17-2020,23263.73
Mar-18-2020,22291.82
Mar-19-2020,21709.13
Mar-20-2020,22805.07
Mar-23-2020,21696.13
Mar-24-2020,22663.49
Mar-25-2020,23527.19
Mar-26-2020,23352.34
Mar-27-2020,23484.28
Mar-30-2020,23175.11
Mar-31-2020,23603.48
Apr-01-2020,23085.79
Apr-02-2020,23280.06
Apr-03-2020,23236.11
Apr-06-2020,23749.12
Apr-07-2020,24253.29
Apr-08-2020,23970.37
Apr-09-2020,24300.33
Apr-14-2020,24435.4
Apr-15-2020,24145.34
Apr-16-2020,24006.45
Apr-17-2020,24380
Apr-20-2020,24330.02
Apr-21-2020,23793.55
Apr-22-2020,23893.36
Apr-23-2020,23977.32
Apr-24-2020,23831.33
Apr-27-2020,24280.14
Apr-28-2020,24575.96
Apr-29-2020,24643.59
May-04-2020,23613.8
May-05-2020,23868.66
May-06-2020,24137.48
May-07-2020,23980.63
May-08-2020,24230.17
May-11-2020,24602.06
May-12-2020,24245.68
May-13-2020,24180.3
May-14-2020,23829.74
May-15-2020,23797.47
May-18-2020,23934.77
May-19-2020,24388.13
May-20-2020,24399.95
May-21-2020,24280.03
May-22-2020,22930.14
May-25-2020,22952.24
May-26-2020,23384.66
May-27-2020,23301.36
May-28-2020,23132.76
May-29-2020,22961.47
Jun-01-2020,23732.52
Jun-02-2020,23995.94
Jun-03-2020,24325.62
Jun-04-2020,24366.3
Jun-05-2020,24770.41
Jun-08-2020,24776.77
Jun-09-2020,25057.22
Jun-10-2020,25049.73
Jun-11-2020,24480.15
Jun-12-2020,24301.38
Jun-15-2020,23776.95
Jun-16-2020,24344.09
Jun-17-2020,24481.41
Jun-18-2020,24464.94
Jun-19-2020,24643.89
Jun-22-2020,24511.34
Jun-23-2020,24907.34
Jun-24-2020,24781.58
Jun-26-2020,24549.99
Jun-29-2020,24301.28
Jun-30-2020,24427.19
Jul-02-2020,25124.19
Jul-03-2020,25373.12
Jul-06-2020,26339.16
Jul-07-2020,25975.66
Jul-08-2020,26129.18
Jul-09-2020,26210.16
Jul-10-2020,25727.41
Jul-13-2020,25772.12
Jul-14-2020,25477.89
Jul-15-2020,25481.58
Jul-16-2020,24970.69
Jul-17-2020,25089.17
Jul-20-2020,25057.99
Jul-21-2020,25635.66
Jul-22-2020,25057.94
Jul-23-2020,25263
Jul-24-2020,24705.33
Jul-27-2020,24603.26
Jul-28-2020,24772.76
Jul-29-2020,24883.14
Jul-30-2020,24710.59
Jul-31-2020,24595.35
Aug-03-2020,24458.13
Aug-04-2020,24946.63
Aug-05-2020,25102.54
Aug-06-2020,24930.58
Aug-07-2020,24531.62
Aug-10-2020,24377.43
Aug-11-2020,24890.68
Aug-12-2020,25244.02
Aug-13-2020,25230.67
Aug-14-2020,25183.01
Aug-17-2020,25347.34
Aug-18-2020,25367.38
Aug-19-2020,25178.91
Aug-20-2020,24791.39
Aug-21-2020,25113.84
Aug-24-2020,25551.58
Aug-25-2020,25486.22
Aug-26-2020,25491.79
Aug-27-2020,25281.15
Aug-28-2020,25422.06
Aug-31-2020,25177.05
Sep-01-2020,25184.85
Sep-02-2020,25120.09
Sep-03-2020,25007.6
Sep-04-2020,24695.45
Sep-07-2020,24589.65
Sep-08-2020,24624.34
Sep-09-2020,24468.93
Sep-10-2020,24313.54
Sep-11-2020,24503.31
Sep-14-2020,24640.28
Sep-15-2020,24732.76
Sep-16-2020,24725.63
Sep-17-2020,24340.85
Sep-18-2020,24455.41
Sep-21-2020,23950.69
Sep-22-2020,23716.85
Sep-23-2020,23742.51
Sep-24-2020,23311.07
Sep-25-2020,23235.42
Sep-28-2020,23476.05
Sep-29-2020,23275.53
Sep-30-2020,23459.05
Oct-05-2020,23767.78
Oct-06-2020,23980.65
Oct-07-2020,24242.86
Oct-08-2020,24193.35
Oct-09-2020,24119.13
Oct-12-2020,24649.68
Oct-14-2020,24667.09
Oct-15-2020,24158.54
Oct-16-2020,24386.79
Oct-19-2020,24542.26
Oct-20-2020,24569.54
Oct-21-2020,24754.42
Oct-22-2020,24786.13
Oct-23-2020,24918.78
Oct-27-2020,24787.19
Oct-28-2020,24708.8
Oct-29-2020,24586.6
Oct-30-2020,24107.42
Nov-02-2020,24460.01
Nov-03-2020,24939.73
Nov-04-2020,24886.14
Nov-05-2020,25695.92
Nov-06-2020,25712.97
Nov-09-2020,26016.17
Nov-10-2020,26301.48
Nov-11-2020,26226.98
Nov-12-2020,26169.38
Nov-13-2020,26156.86
Nov-16-2020,26381.67
Nov-17-2020,26415.09
Nov-18-2020,26544.29
Nov-19-2020,26356.97
Nov-20-2020,26451.54
Nov-23-2020,26486.2
Nov-24-2020,26588.2
Nov-25-2020,26669.75
Nov-26-2020,26819.45
Nov-27-2020,26894.68
Nov-30-2020,26341.49
Dec-01-2020,26567.68
