Dates,Index
Dec-02-2019,8567.99
Dec-03-2019,8520.64
Dec-04-2019,8566.67
Dec-05-2019,8570.7
Dec-06-2019,8656.53
Dec-09-2019,8621.83
Dec-10-2019,8616.18
Dec-11-2019,8654.05
Dec-12-2019,8717.32
Dec-13-2019,8734.88
Dec-16-2019,8814.23
Dec-17-2019,8823.36
Dec-18-2019,8827.73
Dec-19-2019,8887.22
Dec-20-2019,8924.96
Dec-23-2019,8945.65
Dec-24-2019,8952.88
Dec-26-2019,9022.39
Dec-27-2019,9006.62
Dec-30-2019,8945.99
Dec-31-2019,8972.61
Jan-02-2020,9092.19
Jan-03-2020,9020.77
Jan-06-2020,9071.46
Jan-07-2020,9068.58
Jan-08-2020,9129.24
Jan-09-2020,9203.43
Jan-10-2020,9178.86
Jan-13-2020,9273.93
Jan-14-2020,9251.33
Jan-15-2020,9258.7
Jan-16-2020,9357.13
Jan-17-2020,9388.95
Jan-21-2020,9370.81
Jan-22-2020,9383.77
Jan-23-2020,9402.48
Jan-24-2020,9314.91
Jan-27-2020,9139.31
Jan-28-2020,9269.68
Jan-29-2020,9275.16
Jan-30-2020,9298.93
Jan-31-2020,9150.94
Feb-03-2020,9273.4
Feb-04-2020,9467.97
Feb-05-2020,9508.68
Feb-06-2020,9572.15
Feb-07-2020,9520.51
Feb-10-2020,9628.39
Feb-11-2020,9638.94
Feb-12-2020,9725.96
Feb-13-2020,9711.97
Feb-14-2020,9731.18
Feb-18-2020,9732.74
Feb-19-2020,9817.18
Feb-20-2020,9750.96
Feb-21-2020,9576.59
Feb-24-2020,9221.28
Feb-25-2020,8965.61
Feb-26-2020,8980.77
Feb-27-2020,8566.48
Feb-28-2020,8567.37
Mar-02-2020,8952.16
Mar-03-2020,8684.09
Mar-04-2020,9018.09
Mar-05-2020,8738.59
Mar-06-2020,8575.62
Mar-09-2020,7950.68
Mar-10-2020,8344.25
Mar-11-2020,7952.05
Mar-12-2020,7201.8
Mar-13-2020,7874.87
Mar-16-2020,6904.59
Mar-17-2020,7334.78
Mar-18-2020,6989.84
Mar-19-2020,7150.58
Mar-20-2020,6879.52
Mar-23-2020,6860.67
Mar-24-2020,7417.86
Mar-25-2020,7384.3
