Dates,Index
Dec-02-2019,3113.87
Dec-03-2019,3093.2
Dec-04-2019,3112.76
Dec-05-2019,3117.43
Dec-06-2019,3145.91
Dec-09-2019,3135.96
Dec-10-2019,3132.52
Dec-11-2019,3141.63
Dec-12-2019,3168.57
Dec-13-2019,3168.8
Dec-16-2019,3191.45
Dec-17-2019,3192.52
Dec-18-2019,3191.14
Dec-19-2019,3205.37
Dec-20-2019,3221.22
Dec-23-2019,3224.01
Dec-24-2019,3223.38
Dec-26-2019,3239.91
Dec-27-2019,3240.02
Dec-30-2019,3221.29
Dec-31-2019,3230.78
Jan-02-2020,3257.85
Jan-03-2020,3234.85
Jan-06-2020,3246.28
Jan-07-2020,3237.18
Jan-08-2020,3253.05
Jan-09-2020,3274.7
Jan-10-2020,3265.35
Jan-13-2020,3288.13
Jan-14-2020,3283.15
Jan-15-2020,3289.29
Jan-16-2020,3316.81
Jan-17-2020,3329.62
Jan-21-2020,3320.79
Jan-22-2020,3321.75
Jan-23-2020,3325.54
Jan-24-2020,3295.47
Jan-27-2020,3243.63
Jan-28-2020,3276.24
Jan-29-2020,3273.4
Jan-30-2020,3283.66
Jan-31-2020,3225.52
Feb-03-2020,3248.92
Feb-04-2020,3297.59
Feb-05-2020,3334.69
Feb-06-2020,3345.78
Feb-07-2020,3327.71
Feb-10-2020,3352.09
Feb-11-2020,3357.75
Feb-12-2020,3379.45
Feb-13-2020,3373.94
Feb-14-2020,3380.16
Feb-18-2020,3370.29
Feb-19-2020,3386.15
Feb-20-2020,3373.23
Feb-21-2020,3337.75
Feb-24-2020,3225.89
Feb-25-2020,3128.21
Feb-26-2020,3116.39
Feb-27-2020,2978.76
Feb-28-2020,2954.22
Mar-02-2020,3090.23
Mar-03-2020,3003.37
Mar-04-2020,3130.12
Mar-05-2020,3023.94
Mar-06-2020,2972.37
Mar-09-2020,2746.56
Mar-10-2020,2882.23
Mar-11-2020,2741.38
Mar-12-2020,2480.64
Mar-13-2020,2711.02
Mar-16-2020,2386.13
Mar-17-2020,2529.19
Mar-18-2020,2398.1
Mar-19-2020,2409.39
Mar-20-2020,2304.92
Mar-23-2020,2237.4
Mar-24-2020,2447.33
Mar-25-2020,2475.56
Mar-26-2020,2630.07
Mar-27-2020,2541.47
Mar-30-2020,2626.65
Mar-31-2020,2584.59
Apr-01-2020,2470.5
Apr-02-2020,2526.9
Apr-03-2020,2488.65
Apr-06-2020,2663.68
Apr-07-2020,2659.41
Apr-08-2020,2749.98
Apr-09-2020,2789.82
Apr-13-2020,2761.63
Apr-14-2020,2846.06
Apr-15-2020,2783.36
Apr-16-2020,2799.55
Apr-17-2020,2874.56
Apr-20-2020,2823.16
Apr-21-2020,2736.56
Apr-22-2020,2799.31
Apr-23-2020,2797.8
Apr-24-2020,2836.74
Apr-27-2020,2878.48
Apr-28-2020,2863.39
Apr-29-2020,2939.51
Apr-30-2020,2912.43
May-01-2020,2830.71
May-04-2020,2842.74
May-05-2020,2868.44
May-06-2020,2848.42
May-07-2020,2881.19
May-08-2020,2929.8
May-11-2020,2930.32
May-12-2020,2870.12
May-13-2020,2820
May-14-2020,2852.5
May-15-2020,2863.7
May-18-2020,2953.91
May-19-2020,2922.94
May-20-2020,2971.61
May-21-2020,2948.51
May-22-2020,2955.45
May-26-2020,2991.77
May-27-2020,3036.13
May-28-2020,3029.73
May-29-2020,3044.31
Jun-01-2020,3055.73
Jun-02-2020,3080.82
Jun-03-2020,3122.87
Jun-04-2020,3112.35
Jun-05-2020,3193.93
Jun-08-2020,3232.39
Jun-09-2020,3207.18
Jun-10-2020,3190.14
Jun-11-2020,3002.1
Jun-12-2020,3041.31
Jun-15-2020,3066.59
Jun-16-2020,3124.74
Jun-17-2020,3113.49
Jun-18-2020,3115.34
Jun-19-2020,3097.74
Jun-22-2020,3117.86
Jun-23-2020,3131.29
Jun-24-2020,3050.33
Jun-25-2020,3083.76
Jun-26-2020,3009.05
Jun-29-2020,3053.24
Jun-30-2020,3100.29
Jul-01-2020,3115.86
Jul-02-2020,3130.01
Jul-06-2020,3179.72
Jul-07-2020,3145.32
Jul-08-2020,3169.94
Jul-09-2020,3152.05
Jul-10-2020,3185.04
Jul-13-2020,3155.22
Jul-14-2020,3197.52
Jul-15-2020,3226.56
Jul-16-2020,3215.57
Jul-17-2020,3224.73
Jul-20-2020,3251.84
Jul-21-2020,3257.3
Jul-22-2020,3276.02
Jul-23-2020,3235.66
Jul-24-2020,3215.63
Jul-27-2020,3239.41
Jul-28-2020,3218.44
Jul-29-2020,3258.44
Jul-30-2020,3246.22
Jul-31-2020,3271.12
Aug-03-2020,3294.61
Aug-04-2020,3306.51
Aug-05-2020,3327.77
Aug-06-2020,3349.16
Aug-07-2020,3351.28
Aug-10-2020,3360.47
Aug-11-2020,3333.69
Aug-12-2020,3380.35
Aug-13-2020,3373.43
Aug-14-2020,3372.85
Aug-17-2020,3381.99
Aug-18-2020,3389.78
Aug-19-2020,3374.85
Aug-20-2020,3385.51
Aug-21-2020,3397.16
Aug-24-2020,3431.28
Aug-25-2020,3443.62
Aug-26-2020,3478.73
Aug-27-2020,3484.55
Aug-28-2020,3508.01
Aug-31-2020,3500.31
Sep-01-2020,3526.65
Sep-02-2020,3580.84
Sep-03-2020,3455.06
Sep-04-2020,3426.96
Sep-08-2020,3331.84
Sep-09-2020,3398.96
Sep-10-2020,3339.19
Sep-11-2020,3340.97
Sep-14-2020,3383.54
Sep-15-2020,3401.2
Sep-16-2020,3385.49
Sep-17-2020,3357.01
Sep-18-2020,3319.47
Sep-21-2020,3281.06
Sep-22-2020,3315.57
Sep-23-2020,3236.92
Sep-24-2020,3246.59
Sep-25-2020,3298.46
Sep-28-2020,3351.6
Sep-29-2020,3335.47
Sep-30-2020,3363
Oct-01-2020,3380.8
Oct-02-2020,3348.44
Oct-05-2020,3408.63
Oct-06-2020,3360.95
Oct-07-2020,3419.45
Oct-08-2020,3446.83
Oct-09-2020,3477.13
Oct-12-2020,3534.22
Oct-13-2020,3511.93
Oct-14-2020,3488.67
Oct-15-2020,3483.34
Oct-16-2020,3483.81
Oct-19-2020,3426.92
Oct-20-2020,3443.12
Oct-21-2020,3435.56
Oct-22-2020,3453.49
Oct-23-2020,3465.39
Oct-26-2020,3400.97
Oct-27-2020,3390.68
Oct-28-2020,3271.03
Oct-29-2020,3310.11
Oct-30-2020,3269.96
Nov-02-2020,3310.24
Nov-03-2020,3369.02
Nov-04-2020,3443.44
Nov-05-2020,3510.45
Nov-06-2020,3509.44
Nov-09-2020,3550.5
Nov-10-2020,3545.53
Nov-11-2020,3572.66
Nov-12-2020,3537.01
Nov-13-2020,3585.15
Nov-16-2020,3626.91
Nov-17-2020,3609.53
Nov-18-2020,3567.79
Nov-19-2020,3581.87
Nov-20-2020,3557.54
Nov-23-2020,3577.59
Nov-24-2020,3635.41
Nov-25-2020,3629.65
Nov-27-2020,3638.35
Nov-30-2020,3621.63
