Dates, Index
Dec-02-2019,2875.81
Dec-03-2019,2884.7
Dec-04-2019,2878.12
Dec-05-2019,2899.47
Dec-06-2019,2912.01
Dec-09-2019,2914.48
Dec-10-2019,2917.32
Dec-11-2019,2924.42
Dec-12-2019,2915.7
Dec-13-2019,2967.68
Dec-16-2019,2984.39
Dec-17-2019,3022.42
Dec-18-2019,3017.04
Dec-19-2019,3017.07
Dec-20-2019,3004.94
Dec-23-2019,2962.75
Dec-24-2019,2982.68
Dec-25-2019,2981.88
Dec-26-2019,3007.35
Dec-27-2019,3005.04
Dec-30-2019,3040.02
Dec-31-2019,3050.12
Jan-02-2020,3085.2
Jan-03-2020,3083.79
Jan-06-2020,3083.41
Jan-07-2020,3104.8
Jan-08-2020,3066.89
Jan-09-2020,3094.88
Jan-10-2020,3092.29
Jan-13-2020,3115.57
Jan-14-2020,3106.82
Jan-15-2020,3090.04
Jan-16-2020,3074.08
Jan-17-2020,3075.5
Jan-20-2020,3095.79
Jan-21-2020,3052.14
Jan-22-2020,3060.75
Jan-23-2020,2976.53
Feb-03-2020,2746.61
Feb-04-2020,2783.29
Feb-05-2020,2818.09
Feb-06-2020,2866.51
Feb-07-2020,2875.96
Feb-10-2020,2890.49
Feb-11-2020,2901.67
Feb-12-2020,2926.9
Feb-13-2020,2906.07
Feb-14-2020,2917.01
Feb-17-2020,2983.62
Feb-18-2020,2984.97
Feb-19-2020,2975.4
Feb-20-2020,3030.15
Feb-21-2020,3039.67
Feb-24-2020,3031.23
Feb-25-2020,3013.05
Feb-26-2020,2987.93
Feb-27-2020,2991.33
Feb-28-2020,2880.3
Mar-02-2020,2970.93
Mar-03-2020,2992.9
Mar-04-2020,3011.67
Mar-05-2020,3071.68
Mar-06-2020,3034.51
Mar-09-2020,2943.29
Mar-10-2020,2996.76
Mar-11-2020,2968.52
Mar-12-2020,2923.49
Mar-13-2020,2887.43
Mar-16-2020,2789.25
Mar-17-2020,2779.64
Mar-18-2020,2728.76
Mar-19-2020,2702.13
Mar-20-2020,2745.62
Mar-23-2020,2660.17
Mar-24-2020,2722.44
Mar-25-2020,2781.59
Mar-26-2020,2764.91
Mar-27-2020,2772.2
Mar-30-2020,2747.21
Mar-31-2020,2750.3
Apr-01-2020,2734.52
Apr-02-2020,2780.64
Apr-03-2020,2763.99
Apr-07-2020,2820.76
Apr-08-2020,2815.37
Apr-09-2020,2825.9
Apr-10-2020,2796.63
Apr-13-2020,2783.05
Apr-14-2020,2827.28
Apr-15-2020,2811.17
Apr-16-2020,2819.94
Apr-17-2020,2838.49
Apr-20-2020,2852.55
Apr-21-2020,2827.01
Apr-22-2020,2843.98
Apr-23-2020,2838.5
Apr-24-2020,2808.53
Apr-27-2020,2815.49
Apr-28-2020,2810.02
Apr-29-2020,2822.44
Apr-30-2020,2860.08
May-06-2020,2878.14
May-07-2020,2871.52
May-08-2020,2895.34
May-11-2020,2894.8
May-12-2020,2891.56
May-13-2020,2898.05
May-14-2020,2870.34
May-15-2020,2868.46
May-18-2020,2875.42
May-19-2020,2898.58
May-20-2020,2883.74
May-21-2020,2867.92
May-22-2020,2813.77
May-25-2020,2817.97
May-26-2020,2846.55
May-27-2020,2836.8
May-28-2020,2846.22
May-29-2020,2852.35
Jun-01-2020,2915.43
Jun-02-2020,2921.4
Jun-03-2020,2923.37
Jun-04-2020,2919.25
Jun-05-2020,2930.8
Jun-08-2020,2937.77
Jun-09-2020,2956.11
Jun-10-2020,2943.75
Jun-11-2020,2920.9
Jun-12-2020,2919.74
Jun-15-2020,2890.03
Jun-16-2020,2931.75
Jun-17-2020,2935.87
Jun-18-2020,2939.32
Jun-19-2020,2967.63
Jun-22-2020,2965.27
